date,year,month,fishmeal_price_usd_mt
1979-01-01,1979,1,381.0
1979-02-01,1979,2,382.0
1979-03-01,1979,3,381.0
1979-04-01,1979,4,365.5
1979-05-01,1979,5,368.0
1979-06-01,1979,6,393.0
1979-07-01,1979,7,415.0
1979-08-01,1979,8,400.0
1979-09-01,1979,9,394.0
1979-10-01,1979,10,394.0
1979-11-01,1979,11,415.0
1979-12-01,1979,12,450.0
1980-01-01,1980,1,491.0
1980-02-01,1980,2,518.3
1980-03-01,1980,3,478.0
1980-04-01,1980,4,470.0
1980-05-01,1980,5,505.0
1980-06-01,1980,6,484.0
1980-07-01,1980,7,479.0
1980-08-01,1980,8,490.0
1980-09-01,1980,9,501.0
1980-10-01,1980,10,511.8
1980-11-01,1980,11,568.0
1980-12-01,1980,12,557.0
1981-01-01,1981,1,541.0
1981-02-01,1981,2,518.0
1981-03-01,1981,3,507.0
1981-04-01,1981,4,501.0
1981-05-01,1981,5,504.0
1981-06-01,1981,6,485.0
1981-07-01,1981,7,470.0
1981-08-01,1981,8,438.8
1981-09-01,1981,9,434.0
1981-10-01,1981,10,405.0
1981-11-01,1981,11,407.0
1981-12-01,1981,12,399.0
1982-01-01,1982,1,390.0
1982-02-01,1982,2,369.0
1982-03-01,1982,3,357.0
1982-04-01,1982,4,357.0
1982-05-01,1982,5,362.0
1982-06-01,1982,6,348.0
1982-07-01,1982,7,335.0
1982-08-01,1982,8,320.0
1982-09-01,1982,9,319.0
1982-10-01,1982,10,326.0
1982-11-01,1982,11,353.0
1982-12-01,1982,12,399.0
1983-01-01,1983,1,439.0
1983-02-01,1983,2,423.0
1983-03-01,1983,3,403.2
1983-04-01,1983,4,440.0
1983-05-01,1983,5,437.0
1983-06-01,1983,6,430.0
1983-07-01,1983,7,433.0
1983-08-01,1983,8,452.0
1983-09-01,1983,9,502.8
1983-10-01,1983,10,510.0
1983-11-01,1983,11,479.0
1983-12-01,1983,12,482.0
1984-01-01,1984,1,480.0
1984-02-01,1984,2,466.0
1984-03-01,1984,3,428.0
1984-04-01,1984,4,402.0
1984-05-01,1984,5,382.0
1984-06-01,1984,6,372.0
1984-07-01,1984,7,341.0
1984-08-01,1984,8,333.0
1984-09-01,1984,9,318.0
1984-10-01,1984,10,319.0
1984-11-01,1984,11,323.0
1984-12-01,1984,12,314.0
1985-01-01,1985,1,307.0
1985-02-01,1985,2,292.0
1985-03-01,1985,3,280.0
1985-04-01,1985,4,271.0
1985-05-01,1985,5,276.0
1985-06-01,1985,6,256.0
1985-07-01,1985,7,254.0
1985-08-01,1985,8,259.0
1985-09-01,1985,9,265.0
1985-10-01,1985,10,287.0
1985-11-01,1985,11,308.0
1985-12-01,1985,12,306.0
1986-01-01,1986,1,292.0
1986-02-01,1986,2,292.0
1986-03-01,1986,3,321.0
1986-04-01,1986,4,333.0
1986-05-01,1986,5,317.0
1986-06-01,1986,6,317.0
1986-07-01,1986,7,319.0
1986-08-01,1986,8,326.0
1986-09-01,1986,9,339.0
1986-10-01,1986,10,353.0
1986-11-01,1986,11,328.0
1986-12-01,1986,12,310.0
1987-01-01,1987,1,317.0
1987-02-01,1987,2,322.0
1987-03-01,1987,3,332.0
1987-04-01,1987,4,341.0
1987-05-01,1987,5,355.0
1987-06-01,1987,6,393.0
1987-07-01,1987,7,403.0
1987-08-01,1987,8,413.0
1987-09-01,1987,9,400.0
1987-10-01,1987,10,406.0
1987-11-01,1987,11,445.0
1987-12-01,1987,12,474.0
1988-01-01,1988,1,473.0
1988-02-01,1988,2,473.0
1988-03-01,1988,3,487.0
1988-04-01,1988,4,520.0
1988-05-01,1988,5,541.0
1988-06-01,1988,6,606.0
1988-07-01,1988,7,609.0
1988-08-01,1988,8,577.0
1988-09-01,1988,9,582.0
1988-10-01,1988,10,575.0
1988-11-01,1988,11,556.0
1988-12-01,1988,12,534.0
1989-01-01,1989,1,481.0
1989-02-01,1989,2,464.0
1989-03-01,1989,3,437.0
1989-04-01,1989,4,400.0
1989-05-01,1989,5,399.0
1989-06-01,1989,6,371.0
1989-07-01,1989,7,380.0
1989-08-01,1989,8,359.0
1989-09-01,1989,9,360.0
1989-10-01,1989,10,393.0
1989-11-01,1989,11,419.0
1989-12-01,1989,12,438.0
1990-01-01,1990,1,430.0
1990-02-01,1990,2,426.0
1990-03-01,1990,3,385.0
1990-04-01,1990,4,381.0
1990-05-01,1990,5,374.0
1990-06-01,1990,6,354.0
1990-07-01,1990,7,383.0
1990-08-01,1990,8,407.0
1990-09-01,1990,9,417.0
1990-10-01,1990,10,435.0
1990-11-01,1990,11,473.0
1990-12-01,1990,12,481.0
1991-01-01,1991,1,480.0
1991-02-01,1991,2,476.0
1991-03-01,1991,3,455.0
1991-04-01,1991,4,459.0
1991-05-01,1991,5,471.0
1991-06-01,1991,6,482.0
1991-07-01,1991,7,471.0
1991-08-01,1991,8,452.0
1991-09-01,1991,9,478.0
1991-10-01,1991,10,498.0
1991-11-01,1991,11,512.0
1991-12-01,1991,12,500.0
1992-01-01,1992,1,500.0
1992-02-01,1992,2,494.0
1992-03-01,1992,3,488.0
1992-04-01,1992,4,489.0
1992-05-01,1992,5,495.0
1992-06-01,1992,6,491.0
1992-07-01,1992,7,485.0
1992-08-01,1992,8,493.0
1992-09-01,1992,9,481.0
1992-10-01,1992,10,469.0
1992-11-01,1992,11,455.0
1992-12-01,1992,12,438.0
1993-01-01,1993,1,418.0
1993-02-01,1993,2,391.0
1993-03-01,1993,3,377.0
1993-04-01,1993,4,361.0
1993-05-01,1993,5,348.0
1993-06-01,1993,6,348.0
1993-07-01,1993,7,356.0
1993-08-01,1993,8,361.0
1993-09-01,1993,9,353.0
1993-10-01,1993,10,339.0
1993-11-01,1993,11,358.0
1993-12-01,1993,12,367.0
1994-01-01,1994,1,366.0
1994-02-01,1994,2,364.0
1994-03-01,1994,3,352.0
1994-04-01,1994,4,351.0
1994-05-01,1994,5,362.0
1994-06-01,1994,6,365.0
1994-07-01,1994,7,376.0
1994-08-01,1994,8,378.0
1994-09-01,1994,9,392.0
1994-10-01,1994,10,398.0
1994-11-01,1994,11,394.0
1994-12-01,1994,12,418.0
1995-01-01,1995,1,435.0
1995-02-01,1995,2,437.0
1995-03-01,1995,3,447.0
1995-04-01,1995,4,447.0
1995-05-01,1995,5,436.0
1995-06-01,1995,6,467.0
1995-07-01,1995,7,502.0
1995-08-01,1995,8,493.0
1995-09-01,1995,9,505.0
1995-10-01,1995,10,522.0
1995-11-01,1995,11,602.0
1995-12-01,1995,12,647.0
1996-01-01,1996,1,649.0
1996-02-01,1996,2,641.0
1996-03-01,1996,3,616.0
1996-04-01,1996,4,583.0
1996-05-01,1996,5,564.0
1996-06-01,1996,6,563.0
1996-07-01,1996,7,547.0
1996-08-01,1996,8,539.0
1996-09-01,1996,9,566.0
1996-10-01,1996,10,581.0
1996-11-01,1996,11,600.0
1996-12-01,1996,12,583.0
1997-01-01,1997,1,576.0
1997-02-01,1997,2,558.0
1997-03-01,1997,3,554.0
1997-04-01,1997,4,547.0
1997-05-01,1997,5,548.0
1997-06-01,1997,6,558.0
1997-07-01,1997,7,581.0
1997-08-01,1997,8,621.0
1997-09-01,1997,9,637.0
1997-10-01,1997,10,658.0
1997-11-01,1997,11,716.0
1997-12-01,1997,12,721.0
1998-01-01,1998,1,703.0
1998-02-01,1998,2,699.0
1998-03-01,1998,3,682.0
1998-04-01,1998,4,684.0
1998-05-01,1998,5,685.0
1998-06-01,1998,6,675.0
1998-07-01,1998,7,660.0
1998-08-01,1998,8,670.0
1998-09-01,1998,9,681.0
1998-10-01,1998,10,662.0
1998-11-01,1998,11,601.0
1998-12-01,1998,12,541.0
1999-01-01,1999,1,444.26
1999-02-01,1999,2,426.97
1999-03-01,1999,3,407.39
1999-04-01,1999,4,390.98
