year,month,date,nino12_anom,nino3_anom,nino34_anom,nino4_anom
1982,1,1982-01-01,-0.24,0.17,-0.21,0.08
1982,2,1982-02-01,-0.72,-0.11,-0.11,-0.2
1982,3,1982-03-01,-1.38,-0.25,-0.05,-0.14
1982,4,1982-04-01,-1.16,-0.05,0.1,0.02
1982,5,1982-05-01,-0.62,0.49,0.4,0.49
1982,6,1982-06-01,-0.29,0.46,0.62,0.65
1982,7,1982-07-01,0.24,0.27,-0.02,0.27
1982,8,1982-08-01,0.85,0.83,0.01,0.86
1982,9,1982-09-01,1.33,1.49,0.24,1.24
1982,10,1982-10-01,1.8,1.96,0.43,1.73
1982,11,1982-11-01,2.78,2.19,0.18,1.68
1982,12,1982-12-01,2.89,2.8,0.36,2.21
1983,1,1983-01-01,2.3,2.69,0.41,2.13
1983,2,1983-02-01,1.55,2.01,0.41,1.81
1983,3,1983-03-01,1.73,1.32,0.37,1.22
1983,4,1983-04-01,2.37,1.19,-0.02,0.68
1983,5,1983-05-01,3.26,1.43,0.18,0.68
1983,6,1983-06-01,4.03,1.45,-0.06,0.45
1983,7,1983-07-01,3.85,0.68,-0.32,-0.33
1983,8,1983-08-01,2.88,0.55,-0.49,-0.44
1983,9,1983-09-01,1.58,0.2,-0.62,-0.38
1983,10,1983-10-01,1.11,-0.52,-1.02,-1.02
1983,11,1983-11-01,0.38,-1.03,-1.01,-1.29
1983,12,1983-12-01,0.11,-0.88,-0.97,-1.16
1984,1,1984-01-01,-0.16,-0.87,-0.81,-0.96
1984,2,1984-02-01,-0.87,0.03,-0.84,-0.16
1984,3,1984-03-01,-0.88,-0.28,-0.91,-0.52
1984,4,1984-04-01,-0.45,-0.29,-0.97,-0.54
1984,5,1984-05-01,-1.17,-0.84,-0.85,-0.69
1984,6,1984-06-01,-0.97,-1.29,-0.81,-1.03
1984,7,1984-07-01,-0.69,-0.83,-0.45,-0.68
1984,8,1984-08-01,-0.57,-0.58,-0.65,-0.54
1984,9,1984-09-01,-0.38,-0.29,-0.45,-0.41
1984,10,1984-10-01,-0.43,-0.9,-0.67,-0.75
1984,11,1984-11-01,-0.21,-1.05,-0.75,-1.3
1984,12,1984-12-01,-0.21,-1.37,-1.0,-1.48
1985,1,1985-01-01,-0.93,-1.39,-0.83,-1.3
1985,2,1985-02-01,-1.3,-1.14,-0.57,-0.92
1985,3,1985-03-01,-0.95,-0.96,-0.99,-0.89
1985,4,1985-04-01,-1.43,-0.94,-1.09,-1.1
1985,5,1985-05-01,-1.89,-1.22,-1.08,-1.08
1985,6,1985-06-01,-1.35,-1.19,-0.96,-1.08
1985,7,1985-07-01,-1.37,-1.14,-0.74,-0.8
1985,8,1985-08-01,-1.26,-0.98,-0.6,-0.63
1985,9,1985-09-01,-1.35,-0.97,-0.6,-0.77
1985,10,1985-10-01,-1.11,-0.98,-0.57,-0.74
1985,11,1985-11-01,-0.79,-0.91,-0.37,-0.59
1985,12,1985-12-01,-0.5,-0.88,-0.34,-0.59
1986,1,1986-01-01,-0.02,-0.87,-0.52,-0.72
1986,2,1986-02-01,-0.22,-0.58,-0.37,-0.78
1986,3,1986-03-01,-0.69,-0.42,-0.29,-0.6
1986,4,1986-04-01,-0.91,-0.53,-0.68,-0.52
1986,5,1986-05-01,-1.27,-0.77,-0.44,-0.56
1986,6,1986-06-01,-1.02,-0.49,-0.24,-0.33
1986,7,1986-07-01,-0.61,-0.09,-0.29,-0.04
1986,8,1986-08-01,-0.14,-0.1,-0.01,0.19
1986,9,1986-09-01,-0.11,0.29,0.15,0.4
1986,10,1986-10-01,0.12,0.34,0.23,0.51
1986,11,1986-11-01,-0.01,0.54,0.3,0.54
1986,12,1986-12-01,0.12,0.6,0.19,0.82
1987,1,1987-01-01,0.54,0.81,0.26,0.94
1987,2,1987-02-01,0.66,0.78,0.31,0.82
1987,3,1987-03-01,0.94,0.8,0.47,0.89
1987,4,1987-04-01,0.87,0.57,0.26,0.45
1987,5,1987-05-01,0.84,0.62,0.06,0.32
1987,6,1987-06-01,0.66,0.51,0.34,0.72
